,date,TICKER,PRC,PRC moving average 20
444,20011011,EWST,10.7995,12.113915000000002
445,20011012,EWST,11.45,12.061515000000004
446,20011015,EWST,11.5,12.021515000000003
447,20011016,EWST,11.005,11.941265000000001
448,20011017,EWST,11.4901,11.900270000000003
449,20011018,EWST,10.5,11.797770000000002
450,20011019,EWST,11.12,11.753770000000001
451,20011022,EWST,11.4966,11.711100000000002
452,20011023,EWST,11.15,11.632100000000003
453,20011024,EWST,11.497,11.571950000000005
454,20011025,EWST,11.459,11.515200000000004
455,20011026,EWST,11.33,11.484200000000005
456,20011029,EWST,11.5,11.439200000000005
457,20011030,EWST,11.52,11.402700000000006
458,20011031,EWST,11.55,11.365200000000005
459,20011101,EWST,11.5183,11.345115000000007
460,20011102,EWST,11.35,11.342615000000006
461,20011105,EWST,11.5,11.317615000000007
462,20011106,EWST,11.5,11.305115000000006
463,20011107,EWST,11.22,11.322775000000005
464,20011108,EWST,11.51,11.358300000000005
465,20011109,EWST,11.3,11.350800000000007
466,20011112,EWST,11.4985,11.350725000000008
467,20011113,EWST,11.5,11.375475000000007
468,20011114,EWST,11.29,11.365470000000006
469,20011115,EWST,11.29,11.404970000000006
470,20011116,EWST,11.4,11.418970000000005
471,20011119,EWST,11.4,11.414140000000007
472,20011120,EWST,11.45,11.429140000000006
473,20011121,EWST,11.4485,11.426715000000005
474,20011123,EWST,11.4,11.423765000000005
475,20011126,EWST,11.45,11.429765000000003
476,20011127,EWST,11.49,11.429265000000004
477,20011128,EWST,11.49,11.427765000000004
478,20011129,EWST,11.5,11.425265000000003
479,20011130,EWST,11.5,11.424350000000002
480,20011203,EWST,11.25,11.419350000000003
481,20011204,EWST,11.45,11.416850000000002
482,20011205,EWST,11.13,11.398350000000002
483,20011206,EWST,11.12,11.393350000000002
484,20011207,EWST,11.25,11.380350000000004
485,20011210,EWST,11.45,11.387850000000002
486,20011211,EWST,11.5,11.387925000000001
487,20011212,EWST,11.5,11.387925000000001
488,20011213,EWST,11.5,11.398425000000001
489,20011214,EWST,11.5,11.408925000000002
490,20011217,EWST,11.5,11.413925000000003
491,20011218,EWST,11.45,11.416425
492,20011219,EWST,11.45,11.416425
493,20011220,EWST,11.3,11.409000000000002
494,20011221,EWST,11.49,11.413500000000003
495,20011224,EWST,11.49,11.415500000000003
496,20011226,EWST,11.2,11.401000000000002
497,20011227,EWST,11.2025,11.386625
498,20011228,EWST,11.45,11.384125000000001
499,20011231,EWST,11.45,11.381625
500,20020102,EWST,11.1,11.374125
501,20020103,EWST,11.3481,11.369029999999999
502,20020104,EWST,11.3879,11.381924999999999
503,20020107,EWST,11.2,11.385924999999999
504,20020108,EWST,11.4,11.393424999999999
505,20020109,EWST,11.4,11.390925
506,20020110,EWST,11.39,11.385425000000001
507,20020111,EWST,11.3971,11.38028
508,20020114,EWST,11.5,11.38028
509,20020115,EWST,11.45,11.37778
510,20020116,EWST,11.4473,11.375145
511,20020117,EWST,11.29,11.367145
512,20020118,EWST,11.4,11.364645000000001
513,20020122,EWST,11.31,11.365145000000002
514,20020123,EWST,11.4,11.360645000000002
515,20020124,EWST,11.275,11.349895
516,20020125,EWST,11.45,11.362395000000001
517,20020128,EWST,11.45,11.374770000000002
518,20020129,EWST,11.3,11.367270000000001
519,20020130,EWST,11.299,11.359720000000003
520,20020131,EWST,11.3,11.369720000000004
521,20020201,EWST,11.249,11.364765000000004
522,20020204,EWST,11.15,11.352870000000005
523,20020205,EWST,11.05,11.345370000000006
524,20020206,EWST,11.144,11.332570000000006
525,20020207,EWST,10.505999999999998,11.287870000000005
526,20020208,EWST,11.0,11.268370000000004
527,20020211,EWST,11.0,11.248515000000005
528,20020212,EWST,11.15,11.231015000000005
529,20020213,EWST,10.7,11.193515000000005
530,20020214,EWST,11.1,11.176150000000003
531,20020215,EWST,10.898,11.156550000000005
532,20020219,EWST,10.7,11.121550000000003
533,20020220,EWST,10.64,11.088050000000004
534,20020221,EWST,10.9,11.063050000000004
535,20020222,EWST,10.725,11.035550000000004
536,20020225,EWST,10.62,10.994050000000005
537,20020226,EWST,10.6,10.951550000000005
538,20020227,EWST,10.6,10.916550000000004
539,20020228,EWST,10.7,10.886600000000003
540,20020301,EWST,11.0,10.871600000000003
541,20020304,EWST,10.2,10.819150000000002
542,20020305,EWST,10.55,10.789150000000003
543,20020306,EWST,10.5,10.761650000000001
544,20020307,EWST,10.5,10.729450000000002
545,20020308,EWST,10.16,10.712150000000001
546,20020311,EWST,10.4971,10.687005000000001
